,Compound,Date,Negative,Neutral,Outlet,Positive,Text,Tweet Count
114,0.6705,Tue Mar 06 18:10:59 +0000 2018,0.0,0.756,@CBS,0.244,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",15
115,0.3818,Mon Mar 05 22:16:43 +0000 2018,0.0,0.833,@CBS,0.167,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",16
116,0.4404,Sun Mar 04 08:05:26 +0000 2018,0.0,0.884,@CBS,0.116,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",17
117,0.0,Sat Mar 03 20:55:20 +0000 2018,0.0,1.0,@CBS,0.0,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",18
118,0.7096,Fri Mar 02 22:30:01 +0000 2018,0.0,0.753,@CBS,0.247,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",19
119,0.7096,Fri Mar 02 20:30:01 +0000 2018,0.0,0.718,@CBS,0.282,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",20
120,0.4939,Fri Mar 02 18:45:00 +0000 2018,0.0,0.849,@CBS,0.151,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",21
121,-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.21,0.79,@CBS,0.0,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,22
122,0.4547,Thu Mar 01 18:12:57 +0000 2018,0.092,0.749,@CBS,0.159,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",23
123,0.8591,Thu Mar 01 18:11:50 +0000 2018,0.0,0.462,@CBS,0.538,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,24
124,0.4885,Thu Mar 01 18:10:50 +0000 2018,0.151,0.615,@CBS,0.234,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,25
125,0.5994,Thu Mar 01 14:36:21 +0000 2018,0.0,0.822,@CBS,0.178,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",26
126,0.7717,Thu Mar 01 14:29:20 +0000 2018,0.0,0.675,@CBS,0.325,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",27
