,Compound,Date,Negative,Neutral,Outlet,Positive,Text,Tweet Count
24,-0.5574,Wed Mar 14 07:03:36 +0000 2018,0.13,0.87,@BBC,0.0,RT @BBCr4today: This morning: World renowned physicist Stephen Hawking has died at the age of 76. Here he is reading an extract from his 19…,25
25,0.3612,Wed Mar 14 06:28:18 +0000 2018,0.116,0.683,@BBC,0.201,"RT @BBCWorld: A brilliant mind,

wicked sense of humor

and a heart big enough to hold the universe. ⭐🚀

Rest among the stars, Stephen Hawk…",26
26,-0.5574,Wed Mar 14 06:21:50 +0000 2018,0.217,0.783,@BBC,0.0,"💔 World renowned physicist Stephen Hawking has died at the age of 76.
https://t.co/WxYeUddUJB https://t.co/Sbl0zn1Dma",27
27,0.0,Tue Mar 13 20:00:05 +0000 2018,0.0,1.0,@BBC,0.0,"Wakanda has Black Panther. 

 Senegal has Sandale-man. https://t.co/T9JnB3pNeq",28
28,0.0,Tue Mar 13 19:00:05 +0000 2018,0.0,1.0,@BBC,0.0,⚔ Charis is 19 years old and makes SWORDS for a living! https://t.co/kUUiAjIwNu,29
29,0.0,Tue Mar 13 18:30:05 +0000 2018,0.0,1.0,@BBC,0.0,"Microplastics are littering riverbeds across the UK, with hundreds of thousands of plastic particles per square met… https://t.co/cGhDdnQrTm",30
30,0.6696,Tue Mar 13 17:30:06 +0000 2018,0.0,0.71,@BBC,0.29,❤️💃🏻 Ballet is STILL the love of Joyce's life at 98-years-old! https://t.co/nzr3Jy1wbS,31
31,-0.296,Tue Mar 13 17:16:46 +0000 2018,0.087,0.913,@BBC,0.0,"RT @bbcthree: ""No one needs airbags because you've got two"" 

.... and others things not to say to people who've had cosmetic procedures ht…",32
32,0.3182,Tue Mar 13 17:13:13 +0000 2018,0.0,0.897,@BBC,0.103,"RT @BBCR1: Now we have a trailer for #FantasticBeasts: The Crimes of Grindelwald, please can we take a moment to discuss Eddie Redmanyne's…",33
33,-0.5255,Tue Mar 13 17:02:28 +0000 2018,0.188,0.72,@BBC,0.092,"RT @bbcwritersroom: #Networking, a necessary evil - and why you've got to learn to embrace it! 

Check out @PhilipShelley1's latest blog fo…",34
34,0.6808,Tue Mar 13 14:00:22 +0000 2018,0.054,0.702,@BBC,0.244,"From making serious science genuinely popular to his sense of humour, here are seven reasons we ❤️ Stephen Hawking.… https://t.co/zWNEpoOttE",35
35,0.4215,Tue Mar 13 13:00:08 +0000 2018,0.0,0.865,@BBC,0.135,🎨 This scheme to recycle unused paint has saved hundreds of tons of leftovers from ending up in landfill. https://t.co/Y6oau3hK0s,36
36,0.0258,Tue Mar 13 12:26:59 +0000 2018,0.086,0.824,@BBC,0.09,🙅💌 Fans of #KPop boyband #BigBang have been asked to stop sending fan mail to @IBGDRGN at the army base where he's… https://t.co/Swh0KwypL7,37
37,0.0,Tue Mar 13 12:03:24 +0000 2018,0.0,1.0,@BBC,0.0,"RT @bbcouch: During the Winter Olympics people across Britain were swept away by curling. And Aileen Neilson, captain of @ParalympicsGB’s c…",38
38,0.25,Tue Mar 13 12:00:09 +0000 2018,0.0,0.9,@BBC,0.1,"Shakespeare's plays are famous around the world, yet much about the playwright is still a mystery. 

Here's what we… https://t.co/McqCcs3mMj",39
39,-0.431,Tue Mar 13 11:28:09 +0000 2018,0.192,0.808,@BBC,0.0,"RT @bbcthree: ""Underwater you feel nothing. You're at peace with yourself.""  #perfectday2018 https://t.co/zHpEQSzk4H",40
40,-0.4588,Tue Mar 13 11:26:58 +0000 2018,0.12,0.88,@BBC,0.0,"RT @BBCiPlayer: Renowned shop owner and music producer, Blacker Dread, was amongst the first pioneers of sound system culture in the UK 🇯🇲…",41
41,0.0,Tue Mar 13 09:00:06 +0000 2018,0.0,1.0,@BBC,0.0,"🤔 Are we really born to prefer 'boys' or 'girls' toys? 

🐒 The answer might lie with monkeys... https://t.co/oI014dsJHD",42
42,0.6304,Tue Mar 13 08:30:07 +0000 2018,0.081,0.718,@BBC,0.2,"🗣 Accents can be subject to subtle forms of prejudice, but does that mean some are more appealing and trustworthy t… https://t.co/BgEMXgEzSr",43
43,-0.0772,Tue Mar 13 08:00:03 +0000 2018,0.129,0.76,@BBC,0.111,Marianne's search for her missing daughter could be straight out of the film #ThreeBillboards. https://t.co/dph6hhzlXi,44
44,0.5515,Mon Mar 12 20:17:27 +0000 2018,0.0,0.771,@BBC,0.229,"RT @BBCOne: ❤️ Edina, but kind of glad she's not our mum. https://t.co/lQINpsfQuA",45
45,-0.7003,Mon Mar 12 20:16:22 +0000 2018,0.303,0.599,@BBC,0.099,"RT @BBCnireland: Christopher suffered a severe, life-changing, brain injury. It changed his life and the life of his family. True North: My…",46
46,0.2263,Mon Mar 12 19:23:01 +0000 2018,0.0,0.84,@BBC,0.16,🌊 These three women are leading the way in ocean exploration. https://t.co/qwkMRVMiNl,47
47,0.2263,Mon Mar 12 18:30:06 +0000 2018,0.0,0.881,@BBC,0.119,"🗓🥗 A week’s worth of veggie dishes from @ChefTomKerridge, @NigelSlater, @Nigella_Lawson and The @HairyBikers.
👉… https://t.co/VvTZRToT6L",48
48,0.5859,Mon Mar 12 17:30:05 +0000 2018,0.0,0.84,@BBC,0.16,"'There's nothing in the dictionary for that.'

🎶❤️ The amazing moment eight London teens hear an opera singer in th… https://t.co/J448SabIeC",49
49,0.0,Mon Mar 12 16:44:15 +0000 2018,0.0,1.0,@BBC,0.0,"RT @BBCTwo: Meet Marshaal and Amal, two of just six women working at this hotel in Oman.

#AmazingHotels #IWD2018 https://t.co/5zdDAFBrZ9",50
50,0.9022,Mon Mar 12 16:24:52 +0000 2018,0.0,0.643,@BBC,0.357,"RT @BBCOne: To celebrate the life of the amazing Ken Dodd, tonight we will be showing:

22:45 - Arena: Ken Dodd's Happiness
23:45 - Talking…",51
51,0.8429,Mon Mar 12 16:17:43 +0000 2018,0.0,0.702,@BBC,0.298,RT @BBCnireland: AMAZING OPPORTUNITY: We're looking for female directors aged 18-30. Could you make a short film for BBC NI &amp; @bbcartsshow?…,52
